num_admin_pages,admin_duration,num_info_pages,info_duration,num_product_pages,product_duration,bounce_rate,exit_rate,page_value,special_day_score,month,operating_system,browser,region,traffic_type,visitor_type,is_weekend,engagement_score,abandonment_score,high_intent
0,0,0,0,3,13,0.066666667,0.133333333,0,0,,3,2,3,3,Returning_Visitor,0,2.2556229318461036,0.1,0
0,0,0,0,1,0,0.2,0.2,0,0,,2,2,3,6,Returning_Visitor,0,0.4,0.2,0
0,0,0,0,8,101.75,0.025,0.075,0,0,Nov,2,2,6,2,,0,5.052919541350538,0.05,0
0,0,2,38.2,121,3362.749679,0.025170765,0.042322417,4.212415755,0,Jul,1,1,1,3,Returning_Visitor,0,52.048324642644765,0.033746591,1
2,2,0,0,0,,0.1,0.1,0,0,,1,1,3,2,Returning_Visitor,1,0,0.1,0
0,0,0,0,1,,0.2,0.2,0,0,Mar,1,1,1,1,,1,0.4,0.2,0
0,0,0,0,1,,0.2,0.2,0,0,Nov,3,2,7,13,,0,0.4,0.2,0
9,252.667619,1,0,67,1060.693791,0.022685185,0.029967788,0.131837013,0,Oct,3,2,1,13,Returning_Visitor,0,29.787048331133757,0.026326487,1
0,0,0,0,38,883.55,0.026315789,0.03907496,0,0,Nov,2,2,1,3,Returning_Visitor,0,17.91403161644585,0.032695375,0
0,0,0,0,5,111.25,0,0.033333333,0,0,Nov,2,2,1,20,Returning_Visitor,0,3.8882914106489457,0.016666667,0
0,0,0,0,2,59.5,0,0.1,0,0,Dec,1,1,7,2,Returning_Visitor,1,2.4410573460147185,0.05,0
0,0,1,35.5,130,3313.455754,0.007633588,0.028972728,0,0,Nov,2,2,1,2,Returning_Visitor,1,55.44241948,0.018303158,1
1,4,0,0,33,947.4166667,0.012121212,0.045165945,0,0,Nov,2,2,1,2,Returning_Visitor,1,15.941917571011615,0.028643579,0
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,3,3,Returning_Visitor,0,0.4,0.2,0
0,0,0,0,5,,0.04,0.06,0,0,Nov,3,2,6,3,Returning_Visitor,0,3.942371562,0.05,0
0,0,0,0,10,165,0.03,0.046666667,0,0,Nov,1,1,1,2,Returning_Visitor,1,6.044795115342618,0.038333334,0
0,0,0,0,2,0,0.2,0.2,0,0.6,May,2,2,7,3,Returning_Visitor,0,0.8,0.2,0
0,0,0,0,4,48.5,0.05,0.1,0,0,Dec,2,2,9,2,New_Visitor,0,3.160789067829858,0.075,0
6,413.4996124,0,0,83,6072.032391,0.007058824,0.024023709,1.240071108,0,Nov,3,2,8,1,Returning_Visitor,1,36.68464533179645,0.015541266500000001,1
0,0,0,0,8,120.5,0.05,0.1125,0,0,Dec,3,2,1,2,Returning_Visitor,1,5.119965705112241,0.08125,0
0,0,0,0,10,203,,0.026666667,0,0,Mar,3,2,2,3,Returning_Visitor,0,6.127247997537687,0.013333334,0
9,213.3214286,5,528,61,2258.430586,0.01,0.020655014,2.810812468,0,,1,1,4,2,Returning_Visitor,0,28.48914724296939,0.015327507,0
1,17.6,0,0,12,1192.866667,,0.019230769,0,0,Sep,2,2,1,3,Returning_Visitor,0,7.633981047415141,0.009615385,0
1,0,0,0,28,219.8,0,0.037931034,0,0,Nov,2,2,1,1,Returning_Visitor,1,13.358902925761177,0.018965517,0
0,0,0,0,5,239,0,0.04,0,0,Mar,2,2,9,1,Returning_Visitor,0,4.192255569336797,0.02,0
9,201.85,2,20.6,43,1458.93619,0,0.00952381,0,0,,3,2,3,1,New_Visitor,0,20.514459203307126,0.004761905,0
1,150.2,1,31.7,7,93.9,0,0.005555556,0,0,Oct,1,2,3,2,New_Visitor,1,4.821129482246354,0.002777778,0
0,0,0,0,42,,,0.035454545,0,0,,3,2,7,2,Returning_Visitor,0,19.885757432840748,0.027727272499999997,0
5,271.75,1,0,40,675.2020988,,0.019412202,0,0,Oct,2,2,3,2,Returning_Visitor,0,18.806596797633762,0.017206101,0
2,129,0,0,16,1835.5,0.003703704,0.031481481,0,0,Aug,2,4,9,6,Returning_Visitor,0,9.406246746,0.017592593,0
1,22.2,0,0,5,136.1,0.066666667,0.066666667,0,0,Oct,1,1,1,20,Returning_Visitor,0,3.9682842346273075,0.066666667,0
0,0,1,14,104,7181.877778,0.008843537,0.023737786,,0,Nov,2,2,1,2,Returning_Visitor,0,45.35178215459076,0.016290662,0
0,0,0,0,7,191,0,0.028571429,0,0,May,2,4,4,2,Returning_Visitor,0,4.902998148811113,0.014285715,0
0,0,0,0,24,272,,0.090666667,0,0.8,May,3,2,3,4,,0,11.843788718073986,0.073333334,0
5,41.3,0,0,24,446.9277778,0,0.008602151,0,1,Feb,2,2,8,1,Returning_Visitor,1,12.041852803660543,0.004301076,0
17,239.9288462,2,60.5,49,1929.185664,0.017486339,0.025063352,2.580028334,0,,3,2,1,13,,0,23.026148590494337,0.021274846,1
0,0,0,0,10,316.6,0,0.022222222,0,0,Nov,2,2,1,10,Returning_Visitor,0,6.304317091749192,0.011111111,0
0,0,0,0,2,0,0.2,0.2,0,0,Nov,2,2,9,13,Returning_Visitor,0,0.8,0.2,0
0,0,0,0,15,337,,0.032222222,0,0,Jul,1,8,1,1,Returning_Visitor,0,8.329218358193208,0.026111111,0
3,28.125,0,0,50,1032.008333,0.008,0.014133333,0,0,Nov,2,2,1,2,Returning_Visitor,1,22.776092214353138,0.011066666499999999,0
1,21.2,0,0,41,1808.953333,0,0.012195122,0,0,,2,2,3,3,Returning_Visitor,0,19.400422536421825,0.006097561,0
0,0,0,0,16,392.1428571,0.00625,0.027205882,0,0,Mar,3,2,1,2,Returning_Visitor,0,8.789669219955565,0.016727941,0
2,65,0,0,13,1248,,0.020512821,0,0,May,1,2,8,6,Returning_Visitor,0,8.052039404,0.010256411,0
10,720.5,2,88.725,220,10580.34479,,0.022140924,0,0,Nov,2,2,1,1,Returning_Visitor,0,92.10673912165609,0.013454332999999999,1
4,115.8,0,0,46,2557.35,0,0.01372549,44.35848718,0,Oct,2,2,1,2,Returning_Visitor,0,21.53884711936962,0.006862745,1
5,29,0,0,8,233.5,0,0.027777778,0,0,Dec,2,2,4,2,Returning_Visitor,0,5.382982235154534,0.013888889,0
0,0,0,0,12,697.1666667,0,0.016666667,0,0.6,May,2,4,2,6,Returning_Visitor,0,7.419383140706691,0.008333334,0
0,0,0,0,4,96.33333333,,0.05,0,0,May,1,1,1,2,Returning_Visitor,1,3.4312566054263702,0.025,0
0,0,0,0,3,57,0,0.066666667,0,0.2,May,2,5,1,2,Returning_Visitor,0,2.824177204218568,0.033333334,0
